date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:43	191821/191821	---M--	200	added ('OK')	image/jpeg	etag:%2227832d7e122f720f0614ff745bee9eb6%22	https://d19b5f4jac5gbr.cloudfront.net/images/239/1/autodesk-university.jpeg	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/239/1/autodesk-university.jpg	(from https://estudioese.com.uy/recomendados-autodesk-university-7?nid=23)
12:51:43	52981/52981	---M--	200	added ('OK')	image/jpeg	etag:%2204a78fcfb2cf72af25058b601872f2a5%22	https://d19b5f4jac5gbr.cloudfront.net/images/239/91/autodesk-university_q90.jpeg	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/239/91/autodesk-university_q90.jpg	(from https://estudioese.com.uy/recomendados-autodesk-university-7?nid=23)
12:51:44	252014/252014	---M--	200	added ('OK')	image/png	etag:%2275bef058186fb232879d67263bc6190e%22	https://d19b5f4jac5gbr.cloudfront.net/images/238/1/164_tiempo-implementacion-bim-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/238/1/164_tiempo-implementacion-bim-web.png	(from https://estudioese.com.uy/que-es-implementar-bim-7?nid=22)
12:51:44	38388/38388	---M--	200	added ('OK')	image/png	etag:%22f93278730ef73119bce430dc1dbb8976%22	https://d19b5f4jac5gbr.cloudfront.net/images/238/91/164_tiempo-implementacion-bim-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/238/91/164_tiempo-implementacion-bim-web_q90.png	(from https://estudioese.com.uy/que-es-implementar-bim-7?nid=22)
12:51:45	10994/10994	---M--	200	added ('OK')	image/jpeg	etag:%229dfeaea7d274d843ee81fb690ba0a0e4%22	https://d19b5f4jac5gbr.cloudfront.net/images/301/7/dimensiones-bim.jpg	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/301/7/dimensiones-bim.jpg	(from https://estudioese.com.uy/que-es-implementar-bim-7?nid=22)
12:51:46	222564/222564	---M--	200	added ('OK')	image/png	etag:%226c970f79bc2a3ab9b60a1d7b5124fdba%22	https://d19b5f4jac5gbr.cloudfront.net/images/302/7/620_niveles-de-madurez-bim.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/302/7/620_niveles-de-madurez-bim.png	(from https://estudioese.com.uy/que-es-implementar-bim-7?nid=22)
12:51:46	133112/133112	---M--	200	added ('OK')	image/png	etag:%22c599e6f4f8b688e8fd8f692bb64ab32b%22	https://d19b5f4jac5gbr.cloudfront.net/images/303/7/179_tiempo-implementacion-bim-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/303/7/179_tiempo-implementacion-bim-web.png	(from https://estudioese.com.uy/que-es-implementar-bim-7?nid=22)
12:51:47	42028/42028	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:51:46%20GMT	https://estudioese.com.uy/contactanos-8	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/contactanos-8.html	(from https://estudioese.com.uy/que-es-implementar-bim-7?nid=22)
12:51:48	485363/485363	---M--	200	added ('OK')	image/png	etag:%22b5c34dc0e929c7ab553faaf0a9854c86%22	https://d19b5f4jac5gbr.cloudfront.net/images/237/1/captura-de-pantalla-2021-06-01-a-las-18.19.20.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/237/1/captura-de-pantalla-2021-06-01-a-las-18.19.20.png	(from https://estudioese.com.uy/que-es-dalux-field-7?nid=21)
12:51:48	84810/84810	---M--	200	added ('OK')	image/png	etag:%224e5d38ef1dc61ea2901779179fc270ee%22	https://d19b5f4jac5gbr.cloudfront.net/images/237/91/captura-de-pantalla-2021-06-01-a-las-18.19.20_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/237/91/captura-de-pantalla-2021-06-01-a-las-18.19.20_q90.png	(from https://estudioese.com.uy/que-es-dalux-field-7?nid=21)
